threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample
0.65,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.7,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.75,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.8,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.85,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.9,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.95,0.2929484145764316,0.5,0.0,0.0,0.0,0.0,619,0,1494,0,0.7857612463856503,0.8718255695648016,0.2063746340001267,14940.0,0.0,14940.0,0,1494,7.070515854235684
0.6,0.40937056318031234,0.5709753391595461,0.9183673469387755,0.18072289156626506,0.30201342281879195,0.18666722903526253,595,24,1224,270,0.7857612463856503,0.8718255695648016,0.2063746340001267,16525.358879017447,4285.358879017445,12240.0,24,1224,7.820804012786298
0.55,0.7046852815901562,0.7079021524979834,0.855973813420622,0.7001338688085676,0.7702503681885126,0.3832085141803946,443,176,448,1046,0.7857612463856503,0.8718255695648016,0.2063746340001267,92955.99791365865,88475.99791365865,4480.0,176,448,43.99242684034957
0.5,0.7931850449597728,0.708038940900922,0.8158995815899581,0.9136546184738956,0.8620145247868646,0.46635962494523076,311,308,129,1365,0.7857612463856503,0.8718255695648016,0.2063746340001267,262396.0740943522,261106.07409435217,1290.0,308,129,124.18176720035598
0.45,0.7941315664931378,0.6803233396699344,0.7949860724233984,0.9551539491298527,0.8677409546974765,0.4590465994728362,251,368,67,1427,0.7857612463856503,0.8718255695648016,0.2063746340001267,275633.0565273522,274963.0565273522,670.0,368,67,130.44631165515958
0.4,0.7799337434926644,0.6418982337535386,0.7729442970822281,0.9752342704149933,0.8623853211009175,0.416298175817782,191,428,37,1457,0.7857612463856503,0.8718255695648016,0.2063746340001267,277098.5652213516,276728.5652213516,370.0,428,37,131.1398794232615
0.35,0.7524846190250828,0.5799098386004978,0.7419033383158944,0.9966532797858099,0.8506141102542131,0.33321477762109,101,518,5,1489,0.7857612463856503,0.8718255695648016,0.2063746340001267,336201.78935885057,336151.78935885057,50.0,518,5,159.1111165919785
0.05,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
0.1,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
0.15,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
0.2,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
0.25,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
0.3,0.7070515854235684,0.5,0.7070515854235684,1.0,0.8283892431383421,0.0,0,619,0,1494,0.7857612463856503,0.8718255695648016,0.2063746340001267,338082.94346366235,338082.94346366235,0.0,619,0,160.00139302586953
