threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.75,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534
0.8,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534
0.85,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534
0.9,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534
0.95,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534
0.7,0.4500709891150024,0.558738982477648,0.9121951219512195,0.14049586776859505,0.24348958333333334,0.19163847370548187,764,18,1144,187,0.8751121688017971,0.8920332192871993,0.15739077608776375,190350940.82120505,56161077.9532283,134189862.86797675,18,1144,90085.63219176765,3120059.8862904618,117298.83117830136
0.65,0.6630383341221012,0.7098512550415913,0.8912768647281921,0.5296769346356123,0.6644674835061263,0.41872607047104626,696,86,626,705,0.8751121688017971,0.8920332192871993,0.15739077608776375,418603680.0332054,333773780.67889315,84829899.35431227,86,626,198108.69854860642,3881090.4730103854,135511.0213327672
0.6,0.7340274491244676,0.7590791878114065,0.8864321608040201,0.6626596543951916,0.7583834909716252,0.5012131822276552,669,113,449,882,0.8751121688017971,0.8920332192871993,0.15739077608776375,445374271.8502159,393800995.451278,51573276.39893797,113,449,210778.16935646755,3484964.5615157336,114862.53095531842
0.55,0.7841930903928065,0.7891409070733117,0.8723404255319149,0.7700976709241172,0.8180367118914605,0.5619680002724134,632,150,306,1025,0.8751121688017971,0.8920332192871993,0.15739077608776375,531309397.61409,485350326.08931535,45959071.524774656,150,306,251447.89286043067,3235668.840595436,150193.04419860998
0.5,0.8121154756270705,0.8039202876132977,0.862015503875969,0.8354620586025545,0.8485310950019077,0.6018486888184533,604,178,219,1112,0.8751121688017971,0.8920332192871993,0.15739077608776375,614177866.7864275,591589541.768741,22588325.017686516,178,219,290666.28811473143,3323536.75150978,103143.03661044071
0.45,0.8329389493610979,0.8138559935129444,0.8533236994219653,0.8873027798647634,0.8699815837937385,0.6375599343382461,579,203,150,1181,0.8751121688017971,0.8920332192871993,0.15739077608776375,655848893.087265,637592280.2424705,18256612.84479452,203,150,310387.54997031,3140848.671145175,121710.75229863013
0.4,0.8461902508282063,0.8103967749187677,0.8313570487483531,0.9481592787377912,0.8859248859248859,0.6664157176296726,526,256,69,1262,0.8751121688017971,0.8920332192871993,0.15739077608776375,723563987.8644328,713088121.4455829,10475866.418849893,256,69,342434.44764052663,2785500.474396808,151824.15099782453
0.35,0.8353052531945102,0.7872515713239858,0.8062305295950156,0.9722013523666416,0.8814713896457765,0.6491057233767205,471,311,37,1294,0.8751121688017971,0.8920332192871993,0.15739077608776375,786472395.7544963,777157363.9903609,9315031.764135469,311,37,372206.5289893499,2498898.2764963373,251757.61524690452
0.3,0.804070042593469,0.7413598797896319,0.7698646262507357,0.9827197595792637,0.8633663366336634,0.587206184292421,391,391,23,1308,0.8751121688017971,0.8920332192871993,0.15739077608776375,904922329.4221864,895801915.4634557,9120413.95873072,391,23,428264.23541040526,2291053.492233902,396539.73733611824
0.25,0.7685754850922859,0.6910323564959907,0.7349330357142857,0.9894815927873779,0.8434197886647454,0.5139345491869082,307,475,14,1317,0.8751121688017971,0.8920332192871993,0.15739077608776375,1013955950.1767026,1004845627.7267026,9110322.450000038,475,14,479865.57036285027,2115464.479424637,650737.3178571456
0.2,0.7108376715570279,0.6093350383631714,0.6853759011328527,1.0,0.8133211121295447,0.3871320199713622,171,611,0,1331,0.8751121688017971,0.8920332192871993,0.15739077608776375,1317859963.596816,1317859963.596816,0.0,611,0,623691.4167519243,2156890.2841191744,0.0
0.15,0.6833885470894463,0.5722506393861893,0.6655,1.0,0.7991594115881117,0.3101057900507791,113,669,0,1331,0.8751121688017971,0.8920332192871993,0.15739077608776375,1486975399.6183186,1486975399.6183186,0.0,669,0,703727.117661296,2222683.706454885,0.0
0.1,0.6436346426881212,0.518542199488491,0.6386756238003839,1.0,0.779502196193265,0.15389899820949568,29,753,0,1331,0.8751121688017971,0.8920332192871993,0.15739077608776375,2000745085.9151232,2000745085.9151232,0.0,753,0,946874.1532963195,2657031.986607069,0.0
0.05,0.6299100804543304,0.5,0.6299100804543304,1.0,0.772938443670151,0.0,0,782,0,1331,0.8751121688017971,0.8920332192871993,0.15739077608776375,2172291866.0217724,2172291866.0217724,0.0,782,0,1028060.5139714966,2777866.8363449774,0.0
