threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn
0.6,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.65,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.7,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.75,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.8,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.85,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.9,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.95,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535
0.55,0.5475627070515854,0.6530042942641705,0.9071729957805907,0.4201954397394137,0.5743544078361532,0.28869742989538755,512,66,890,645,0.8216392592676083,0.8979355204191278,0.21097303855816985,194301.29930009405,192521.29930009405,1780.0,66,890
0.5,0.791292001893043,0.7468700337003933,0.8646666666666667,0.8449511400651466,0.8546952224052718,0.48499874445906455,375,203,238,1297,0.8216392592676083,0.8979355204191278,0.21097303855816985,1715598.7036403925,1715122.7036403925,476.0,203,238
0.45,0.8409843823946995,0.745476933827756,0.8451352907311457,0.9563517915309446,0.8973105134474327,0.572222543064495,309,269,67,1468,0.8216392592676083,0.8979355204191278,0.21097303855816985,1849472.4475559231,1849338.4475559231,134.0,269,67
0.4,0.8324656885944155,0.7072546013998625,0.8210984230560087,0.9837133550488599,0.8950800237107291,0.5500296992198297,249,329,25,1510,0.8216392592676083,0.8979355204191278,0.21097303855816985,1859774.0791941357,1859724.0791941357,50.0,329,25
0.35,0.8225272124940842,0.682616683385368,0.807855626326964,0.9915309446254071,0.8903188066686165,0.5237576332191535,216,362,13,1522,0.8216392592676083,0.8979355204191278,0.21097303855816985,2556256.1555221677,2556230.1555221677,26.0,362,13
0.3,0.779460482725982,0.596885813148789,0.7671164417791104,1.0,0.8682126696832579,0.3855455880737704,112,466,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2628985.2540837675,2628985.2540837675,0.0,466,0
0.05,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0
0.1,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0
0.15,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0
0.2,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0
0.25,0.7411263606247042,0.5268166089965398,0.7372718539865514,1.0,0.8487696986452862,0.19885236248287988,31,547,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,547,0
